Company; Symbol; Valor Number; Country; Traded Currency; Trading platform; Index-member; Class of Share; Nominal Value; Industry Sector; Listing Segment; Accounting Rules; Next General Meeting; Primary listing
COSMO Pharmaceuticals N.V.; COPN;32590356; NL; CHF; XSWX; SPI,SMCI,SPIEX,SLIFE; RS;0.26; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; ; true
CPH Chemie + Papier Holding AG; CPHN;162471; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;5; Forestry & Paper; Swiss Reporting Standard; Swiss GAAP FER; 14.03.18; true
Crealogix Holding AG; CLXN;1111570; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;8; Software & Computer Services; Swiss Reporting Standard; Swiss GAAP FER; ; true
Credit Suisse Group AG; CSGN;1213853; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.04; Banks; International Reporting Standard; US GAAP; 27.04.18; true
Danone; DAN;487663; FR; CHF; XSWX; ; BS;0.25; ; International Reporting Standard; ; ; false
Datacolor AG; DCN;853104; CH; CHF; XSWX; ; RS;1; Technology Hardware & Equipment; Swiss Reporting Standard; Swiss GAAP FER; 07.12.17; true
Dätwyler Holding AG; DAE;3048677; CH; CHF; XSWX; SPI,SMCI,SPIEX; BS;0.05; General Industrials; Swiss Reporting Standard; Swiss GAAP FER; 06.03.18; true
DKSH Holding AG; DKSH;12667353; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;0.1; Support Services; International Reporting Standard; IFRS; ; true
dormakaba Holding AG; DOKA;1179595; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;0.1; Electronic & Electrical Equipment; Swiss Reporting Standard; Swiss GAAP FER; 23.10.18; true
Dottikon ES Holding AG; DESN;2073900; CH; CHF; XSWX; ; RS;0.1; Chemicals; International Reporting Standard; IFRS; 06.07.18; true
Dufry AG; DUFN;2340545; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI; RS;5; General Retailers; International Reporting Standard; IFRS; ; true
Eastern Property Holdings Limited; EPH;1673866; VG; USD; XSWX; ; RS;0; ; Real Estate Companies; IFRS; ; true
Edisun Power Europe AG; ESUN;2473640; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;30; Electricity; Swiss Reporting Standard; Swiss GAAP FER; 18.05.18; true
Edmond de Rothschild (Suisse) S.A.; RLD;134749; CH; CHF; XSWX; ; BS;500; General Financial; Swiss Reporting Standard; Bank law; 24.04.18; true
EEII AG; EEII;716295; CH; CHF; XSWX; ; BS;7.1; Equity Investment Instruments; Investment Companies; IFRS; 18.04.18; true
EFG International AG; EFGN;2226822; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.5; Banks; International Reporting Standard; IFRS; ; true
Eli Lilly and Company; LLY;947556; US; CHF; XSWX; ; RS;0; ; International Reporting Standard; ; ; false
Elma Electronic AG; ELMN;531916; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;11; Electronic & Electrical Equipment; Swiss Reporting Standard; Swiss GAAP FER; 26.04.18; true
Emmi AG; EMMN;1282989; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;10; Food Producers; Swiss Reporting Standard; Swiss GAAP FER; 12.04.18; true
Ems-Chemie Holding AG; EMSN;1644035; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;0.01; Chemicals; International Reporting Standard; IFRS; 11.08.18; true
Energiedienst Holding AG; EDHN;3965118; CH; CHF; XSWX; ; RS;0.1; Electricity; Swiss Reporting Standard; Swiss GAAP FER; 23.03.18; true
ENR Russia Invest SA; RUS;3447695; CH; CHF; XSWX; ; BS;12.4; General Financial; Investment Companies; IFRS; ; true
Evolva Holding SA; EVE;2121806; CH; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE,SBIOM; RS;0.2; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; 02.05.18; true
Feintool International Holding AG; FTON;932009; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Industrial Engineering; International Reporting Standard; IFRS; 24.04.18; true
Flughafen Zürich AG; FHZN;31941693; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;10; Industrial Transportation; International Reporting Standard; IFRS; ; true
Forbo Holding AG; FORN;354151; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.1; Construction & Materials; International Reporting Standard; IFRS; 06.04.18; true
Formulafirst Ltd.; FFI;1462983; VG; CHF; XSWX; ; BS;0.01; Equity Investment Instruments; Investment Companies; IFRS; ; true
Galenica AG; GALE;36067446; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.1; Food & Drug Retailers; International Reporting Standard; IFRS; 09.05.18; true
GAM Holding AG; GAM;10265962; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;0.05; General Financial; International Reporting Standard; IFRS; ; true
Geberit AG; GEBN;3017040; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.1; Construction & Materials; International Reporting Standard; IFRS; 04.04.18; true
General Electric Co.; GE;933071; US; CHF; XSWX; ; RS;0.16; ; International Reporting Standard; ; ; false
Georg Fischer AG; FI-N;175230; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;1; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; 18.04.18; true
Givaudan SA; GIVN;1064593; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;10; Chemicals; International Reporting Standard; IFRS; 22.03.18; true
Glarner Kantonalbank; GLKBN;18939665; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Banks; Swiss Reporting Standard; Bank law; 27.04.18; true
Gold Fields Limited; GOLI;803185; ZA; CHF; XSWX; ; RS;0.5; ; International Reporting Standard; ; ; false
Goldbach Group AG; GBMN;487094; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1.25; Software & Computer Services; Swiss Reporting Standard; Swiss GAAP FER; 09.04.18; true
Goodyear Tire & Rubber Company; GT;935430; US; CHF; XSWX; ; RS;0; ; International Reporting Standard; ; ; false
Graubündner Kantonalbank; GRKP;134020; CH; CHF; XSWX; SPI,SMCI,SPIEX; PC;100; Banks; Swiss Reporting Standard; Bank law; ; true
Groupe Baumgartner Holding SA; BAP;217577; CH; CHF; XSWX; ; RS;70; Forestry & Paper; Swiss Reporting Standard; Swiss GAAP FER; ; true
Groupe Minoteries SA; GMI;1294946; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;5; Food Producers; Swiss Reporting Standard; Swiss GAAP FER; 14.06.18; true
Gurit Holding AG; GUR;801223; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;50; Chemicals; Swiss Reporting Standard; Swiss GAAP FER; ; true
HBM Healthcare Investments AG; HBMN;1262725; CH; CHF; XSWX; SLIFE,SBIOM; RS;58.5; General Financial; Investment Companies; IFRS; 25.06.18; true
Helvetia Holding AG; HELN;1227168; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;0.1; Nonlife Insurance; International Reporting Standard; IFRS; ; true
HIAG Immobilien Holding AG; HIAG;23951877; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; Real Estate; Real Estate Companies; Swiss GAAP FER; 19.04.18; true
Highlight Event and Entertainment AG; HLEE;358325; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;9; Travel & Leisure; International Reporting Standard; IFRS; ; true
HOCHDORF Holding AG; HOCN;2466652; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Food Producers; Swiss Reporting Standard; Swiss GAAP FER; 04.05.18; true
Huber+Suhner AG; HUBN;3038073; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.25; Technology Hardware & Equipment; Swiss Reporting Standard; IFRS; 11.04.18; true
Hügli Holding AG; HUE;464795; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;1; Food Producers; Swiss Reporting Standard; Swiss GAAP FER; 16.05.18; true
Hypothekarbank Lenzburg AG; HBLN;134160; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;300; Banks; Swiss Reporting Standard; Bank law; 17.03.18; true
Idorsia Ltd; IDIA;36346343; CH; CHF; XSWX; SPI,SMCI,SPIEX,SLIFE,SBIOM; RS;0.05; Pharmaceuticals & Biotechnology; International Reporting Standard; US GAAP; 24.04.18; true
Implenia AG; IMPN;2386855; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;1.02; Construction & Materials; International Reporting Standard; IFRS; 27.03.18; true
INFICON Holding AG; IFCN;1102994; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;5; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; 12.04.18; true
Interroll Holding AG; INRN;637289; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;1; Industrial Engineering; International Reporting Standard; IFRS; 04.05.18; true
Intershop Holding AG; ISN;27377479; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;10; Real Estate; Real Estate Companies; Swiss GAAP FER; 28.03.18; true
Investis Holding SA; IREN;32509429; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.1; Real Estate; Real Estate Companies; Swiss GAAP FER; 20.04.18; true
IVF HARTMANN Holding AG; VBSN;18762425; CH; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE,SBIOM; RS;1.75; Health Care Equipment & Services; Swiss Reporting Standard; Swiss GAAP FER; 17.04.18; true
Julius Bär Gruppe AG; BAER;10248496; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.02; Banks; International Reporting Standard; IFRS; 11.04.18; true
Jungfraubahn Holding AG; JFN;1787578; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1.5; Travel & Leisure; Swiss Reporting Standard; Swiss GAAP FER; ; true
Kardex AG; KARN;10083728; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;7.35; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; 12.04.18; true
Komax Holding AG; KOMN;1070215; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.1; Industrial Engineering; Swiss Reporting Standard; IFRS; 19.04.18; true
KTM Industries AG; KTMI;504289; AT; CHF; XSWX; SPI,SSCI,SPIEX; BS;0; Automobiles & Parts; International Reporting Standard; IFRS; ; true
Kudelski S.A.; KUD;1226836; CH; CHF; XSWX; SPI,SMCI,SPIEX; BS;8; Software & Computer Services; International Reporting Standard; IFRS; ; true
Kühne + Nagel International AG; KNIN;2523886; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI; RS;1; Industrial Transportation; International Reporting Standard; IFRS; ; true
Kuros Biosciences Ltd.; KURN;32581411; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; ; true
LafargeHolcim Ltd; LHN;1221405; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;2; Construction & Materials; International Reporting Standard; IFRS; 08.05.18; true
Landis+Gyr Group AG; LAND;37115349; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;10; Electronic & Electrical Equipment; International Reporting Standard; US GAAP; ; true
lastminute.com N.V.; LMN;23806732; NL; CHF; XSWX; SPI,SSCI,SPIEX; BS;0.01; Travel & Leisure; International Reporting Standard; IFRS; ; true
Leclanché S.A.; LECN;11030311; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1.5; Household Goods; International Reporting Standard; IFRS; ; true
LEM Holding SA; LEHN;2242762; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.5; Electronic & Electrical Equipment; International Reporting Standard; IFRS; ; true
Leonteq AG; LEON;19089118; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; General Financial; International Reporting Standard; IFRS; 22.11.17; true
Liechtensteinische Landesbank AG; LLBN;35514757; LI; CHF; XSWX; SPI,SSCI,SPIEX; RS;5; Banks; International Reporting Standard; IFRS; 09.05.18; true
LifeWatch AG; LIFE;1281545; CH; CHF; XSWX; ; RS;1.3; Health Care Equipment & Services; International Reporting Standard; US GAAP; ; true
Logitech International S.A.; LOGN;2575132; CH; CHF; XSWX; ; RS;0.25; Technology Hardware & Equipment; International Reporting Standard; US GAAP; ; true
Lonza Group AG; LONN;1384101; CH; CHF; XSWX; SMI,SPI,SLCI,SLIFE,SBIOM,SMIEXP,SLI; RS;1; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; 04.05.18; true
LumX Group Limited; LUMX;3381261; GG; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.1; General Financial; International Reporting Standard; IFRS; ; true
Luzerner Kantonalbank AG; LUKN;1169360; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;31; Banks; Swiss Reporting Standard; Bank law; 16.04.18; true
MCH Group AG; MCHN;3954285; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Support Services; Swiss Reporting Standard; Swiss GAAP FER; ; true
Metall Zug AG; METN;3982108; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;25; Household Goods; Swiss Reporting Standard; Swiss GAAP FER; 04.05.18; true
Meyer Burger Technology AG; MBTN;10850379; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.05; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; 02.05.18; true
Mikron Holding AG; MIKN;339006; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.1; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; ; true
mobilezone holding ag; MOZN;27683769; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.01; General Retailers; Swiss Reporting Standard; Swiss GAAP FER; 05.04.18; true
Mobimo Holding AG; MOBN;1110887; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;29; Real Estate; Real Estate Companies; IFRS; 27.03.18; true
Molecular Partners AG; MOLN;25637909; CH; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE,SBIOM; RS;0.1; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; 18.04.18; true
Myriad Group AG; MYRN;1962480; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.1; Software & Computer Services; International Reporting Standard; IFRS; ; true
NEBAG AG; NBEN;505943; CH; CHF; XSWX; ; RS;3.3; General Financial; Investment Companies; IFRS; ; true
Nestlé AG; NESN;3886335; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.1; Food Producers; International Reporting Standard; IFRS; 12.04.18; true
New Value AG; NEWN;1081986; CH; CHF; XSWX; ; RS;0.1; General Financial; Investment Companies; IFRS; ; true
New Venturetec AG; NEV;703683; CH; CHF; XSWX; ; BS;6; Equity Investment Instruments; Investment Companies; IFRS; 01.12.17; true
Newron Pharmaceuticals S.p.A.; NWRN;2791431; IT; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE,SBIOM; RS;0.2; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; ; true
NIBE Industrier AB; NIBEB;32514128; SE; CHF; XSWX; ; RS;0; ; International Reporting Standard; ; ; false
Novartis AG; NOVN;1200526; CH; CHF; XSWX; SMI,SPI,SLCI,SLIFE,SMIEXP,SLI; RS;0.5; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; 02.03.18; true
OC Oerlikon Corporation AG; OERL;81682; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;1; Industrial Engineering; International Reporting Standard; IFRS; ; true
Orascom Development Holding AG; ODHN;3828567; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;23.2; Real Estate; International Reporting Standard; IFRS; 08.05.18; true
Orell Füssli Holding AG; OFN;342080; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; Media; Swiss Reporting Standard; Swiss GAAP FER; 08.05.18; true
Orior AG; ORON;11167736; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;4; Food Producers; International Reporting Standard; IFRS; 12.04.18; true
