Company; Symbol; Valor Number; Country; Traded Currency; Trading platform; Index-member; Class of Share; Nominal Value; Industry Sector; Listing Segment; Accounting Rules; Next General Meeting; Primary listing
Spice Private Equity AG; SPCE;915331; CH; USD; XSWX; SPI,SSCI,SPIEX; RS;10; Equity Investment Instruments; Investment Companies; IFRS; ; true
St.Galler Kantonalbank AG; SGKN;1148406; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;70; Banks; Swiss Reporting Standard; Bank law; 25.04.18; true
Starrag Group Holding AG; STGN;236106; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;8.5; Industrial Engineering; Swiss Reporting Standard; IFRS; 28.04.18; true
Straumann Holding AG; STMN;1228007; CH; CHF; XSWX; SPI,SMCI,SPIEX,SLIFE,SBIOM,SMIM,SMIEXP; RS;0.1; Health Care Equipment & Services; International Reporting Standard; IFRS; 04.04.18; true
Sulzer AG; SUN;3838891; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;0.01; Industrial Engineering; International Reporting Standard; IFRS; ; true
Sunrise Communications Group AG; SRCG;26729122; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;1; Fixed Line Telecommunications; International Reporting Standard; IFRS; 11.04.18; true
Swiss Finance & Property Investment AG; SFPN;3281613; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;12.6; Real Estate; Real Estate Companies; IFRS; ; true
Swiss Life Holding AG; SLHN;1485278; CH; CHF; XSWX; SMI,SPI,SMCI,SMIEXP,SLI; RS;5.1; Life Insurance; International Reporting Standard; IFRS; ; true
Swiss Prime Site AG; SPSN;803838; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;15.3; Real Estate; Real Estate Companies; IFRS; 27.03.18; true
Swiss Re AG; SREN;12688156; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.1; Nonlife Insurance; International Reporting Standard; US GAAP; 20.04.18; true
Swisscom AG; SCMN;874251; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;1; Fixed Line Telecommunications; International Reporting Standard; IFRS; 04.04.18; true
Swissquote Group Holding Ltd; SQN;1067586; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.2; General Financial; International Reporting Standard; IFRS; ; true
Syngenta AG; SYNN;1103746; CH; CHF; XSWX; ; RS;0.1; Chemicals; International Reporting Standard; IFRS; ; true
Tamedia AG; TAMN;1117825; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Media; International Reporting Standard; IFRS; ; true
Tecan Group AG; TECN;1210019; CH; CHF; XSWX; SPI,SMCI,SPIEX,SLIFE,SBIOM; RS;0.1; Health Care Equipment & Services; International Reporting Standard; IFRS; 17.04.18; true
Temenos Group AG; TEMN;1245391; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;5; Software & Computer Services; International Reporting Standard; IFRS; 15.05.18; true
Temenos Group AG; TEMN;1245391; CH; USD; XSWX; ; RS;5; Software & Computer Services; International Reporting Standard; IFRS; 15.05.18; true
The Swatch Group AG; UHR;1225515; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; BS;2.25; Personal Goods; Swiss Reporting Standard; Swiss GAAP FER; 24.05.18; true
The Swatch Group AG; UHRN;1225514; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;0.45; Personal Goods; Swiss Reporting Standard; Swiss GAAP FER; 24.05.18; true
Thurgauer Kantonalbank; TKBP;23135110; CH; CHF; XSWX; SPI,SSCI,SPIEX; PC;20; Banks; Swiss Reporting Standard; Bank law; ; true
Tornos Holding AG; TOHN;1160768; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;4.5; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; ; true
u-blox Holding AG; UBXN;3336167; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.9; Technology Hardware & Equipment; International Reporting Standard; IFRS; ; true
UBS Group AG; UBSG;24476758; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.1; Banks; International Reporting Standard; IFRS; ; true
Unisys Corporation; UIS;10641130; US; CHF; XSWX; ; RS;0.01; ; International Reporting Standard; ; ; false
Valartis Group AG; VLRT;36742768; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; General Financial; International Reporting Standard; IFRS; 15.05.18; true
Valiant Holding AG; VATN;1478650; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.5; Banks; Swiss Reporting Standard; Bank law; 23.05.18; true
Valora Holding AG; VALN;208897; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;1; Food & Drug Retailers; International Reporting Standard; IFRS; 13.04.18; true
Varia US Properties AG; VARN;30528529; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; Real Estate; Real Estate Companies; IFRS; ; true
VAT Group AG; VACN;31186490; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.1; Industrial Engineering; International Reporting Standard; IFRS; ; true
Vaudoise Assurances Holding SA; VAHN;2154566; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;25; Nonlife Insurance; Swiss Reporting Standard; Swiss GAAP FER; ; true
Vetropack Holding AG; VET;622761; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;50; General Industrials; Swiss Reporting Standard; Swiss GAAP FER; 20.04.18; true
Vifor Pharma AG; VIFN;36474934; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI; RS;0.01; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; 15.05.18; true
Villars Holding S.A.; VILN;260965; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;44; General Retailers; Swiss Reporting Standard; Swiss GAAP FER; 17.05.18; true
Volkswagen AG; VW;352780; DE; CHF; XSWX; ; BS;0; ; International Reporting Standard; ; ; false
Volkswagen AG; VW-V;352781; DE; CHF; XSWX; ; BS;0; ; International Reporting Standard; ; ; false
Von Roll Holding AG; ROL;324535; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;0.1; Electronic & Electrical Equipment; International Reporting Standard; IFRS; 24.04.18; true
Vontobel Holding AG; VONN;1233554; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;1; Banks; International Reporting Standard; IFRS; ; true
VP Bank AG; VPBN;31548726; LI; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Banks; International Reporting Standard; IFRS; 27.04.18; true
VZ Holding AG; VZN;2820083; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.25; General Financial; International Reporting Standard; IFRS; 10.04.18; true
Walliser Kantonalbank; WKBN;30595120; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Banks; Swiss Reporting Standard; Bank law; 16.05.18; true
Walter Meier AG; WMN;20806262; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.1; Support Services; Swiss Reporting Standard; Swiss GAAP FER; 27.03.18; true
Warteck Invest AG; WARN;261948; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;10; Real Estate; Real Estate Companies; Swiss GAAP FER; 23.05.18; true
WISeKey International Holding Ltd; WIHN;31402927; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.05; Software & Computer Services; International Reporting Standard; US GAAP; ; true
Ypsomed Holding AG; YPSN;1939699; CH; CHF; XSWX; SPI,SMCI,SPIEX,SLIFE,SBIOM; RS;14.15; Health Care Equipment & Services; Swiss Reporting Standard; Swiss GAAP FER; ; true
Zehnder Group AG; ZEHN;27653461; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.05; Construction & Materials; Swiss Reporting Standard; Swiss GAAP FER; ; true
Zimmer Biomet Holdings Inc.; ZBH;1262932; US; CHF; XSWX; ; RS;0.01; ; International Reporting Standard; ; ; false
Züblin Immobilien Holding AG; ZUBN;31230968; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;22.5; Real Estate; Real Estate Companies; IFRS; ; true
Zug Estates Holding AG; ZUGN;14805212; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;25; Real Estate; Real Estate Companies; Swiss GAAP FER; 10.04.18; true
Zuger Kantonalbank AG; ZG;130890; CH; CHF; XSWX; SPI,SMCI,SPIEX; BS;500; Banks; Swiss Reporting Standard; Bank law; 05.05.18; true
Zur Rose Group AG; ROSE;4261528; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;5.75; Food & Drug Retailers; International Reporting Standard; IFRS; 24.05.18; true
Zurich Insurance Group AG; ZURN;1107539; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.1; Nonlife Insurance; International Reporting Standard; IFRS; 04.04.18; true
Zwahlen & Mayr SA; ZWM;266173; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;200; Industrial Metals; Swiss Reporting Standard; Swiss GAAP FER; ; true
